,user_id,order_cnt,order_amt,order_month,last_order,order_mcnts,order_mamt,order_pamt,RFM_tag,RFM_level,order_cnt_prd,order_amt_prd,last_order_prd,order_mcnts_prd,order_mamt_prd,order_pamt_prd,RFM_tag_prd,RFM_level_prd
0,570067079770126,3,223,2,117,1.5,111.5,74.33333333333333,重要保持客户,7,,,,,,,,
1,570065783590126,14,1132,1,93,14.0,1132.0,80.85714285714286,重要保持客户,7,,,,,,,,
2,570067241090152,1,98,1,121,1.0,98.0,98.0,一般挽留客户,1,,,,,,,,
3,570054379400124,1,56,1,121,1.0,56.0,56.0,一般挽留客户,1,,,,,,,,
4,570067012530147,10,1025,1,121,10.0,1025.0,102.5,重要保持客户,7,,,,,,,,
5,570067094090126,3,153,1,121,3.0,153.0,51.0,一般保持客户,2,,,,,,,,
6,570059591650127,3,67,1,121,3.0,67.0,22.333333333333332,一般保持客户,2,,,,,,,,
7,570065956260159,3,88,1,121,3.0,88.0,29.333333333333332,一般保持客户,2,,,,,,,,
8,570054441670122,3,104,1,121,3.0,104.0,34.666666666666664,一般保持客户,2,,,,,,,,
9,570067226800107,5,748,1,115,5.0,748.0,149.6,重要保持客户,7,,,,,,,,
10,570066514270134,3,273,1,117,3.0,273.0,91.0,重要保持客户,7,,,,,,,,
11,570066809310118,3,209,2,81,1.5,104.5,69.66666666666667,重要价值客户,8,,,,,,,,
12,570062001980132,2,70,1,121,2.0,70.0,35.0,一般挽留客户,1,,,,,,,,
13,570023379250132,6,184,2,87,3.0,92.0,30.666666666666668,一般价值客户,4,,,,,,,,
14,570065900340139,5,82,3,54,1.6666666666666667,27.333333333333332,16.4,一般价值客户,4,,,,,,,,
15,570066384970152,2,197,1,121,2.0,197.0,98.5,一般挽留客户,1,,,,,,,,
16,570065946240146,2,197,1,121,2.0,197.0,98.5,一般挽留客户,1,,,,,,,,
17,570065838110141,1,33,1,121,1.0,33.0,33.0,一般挽留客户,1,,,,,,,,
18,570061586320153,1,70,1,121,1.0,70.0,70.0,一般挽留客户,1,,,,,,,,
19,570056022360142,4,69,2,27,2.0,34.5,17.25,一般价值客户,4,,,,,,,,
20,570067128650160,6,315,1,121,6.0,315.0,52.5,重要保持客户,7,,,,,,,,
21,570064432450107,2,119,1,115,2.0,119.0,59.5,一般挽留客户,1,,,,,,,,
22,570061702400142,7,364,2,77,3.5,182.0,52.0,重要价值客户,8,,,,,,,,
23,570064231200102,4,96,1,121,4.0,96.0,24.0,一般保持客户,2,,,,,,,,
24,570055682420128,1,2900,1,121,1.0,2900.0,2900.0,重要挽留客户,5,,,,,,,,
25,570063107280133,10,736,3,56,3.3333333333333335,245.33333333333334,73.6,重要价值客户,8,,,,,,,,
26,570061952640131,6,291,2,34,3.0,145.5,48.5,重要价值客户,8,,,,,,,,
27,570062867100152,6,410,1,121,6.0,410.0,68.33333333333333,重要保持客户,7,,,,,,,,
28,570067297140146,3,235,2,66,1.5,117.5,78.33333333333333,重要价值客户,8,,,,,,,,
29,570063033980102,20,962,2,74,10.0,481.0,48.1,重要价值客户,8,,,,,,,,
30,570067258550123,4,87,1,120,4.0,87.0,21.75,一般保持客户,2,,,,,,,,
31,570053600930163,63,1,2,86,31.5,0.5,0.015873015873015872,一般价值客户,4,,,,,,,,
32,570063929500114,1,29,1,120,1.0,29.0,29.0,一般挽留客户,1,1.0,29.0,120.0,1.0,29.0,29.0,一般挽留客户,1.0
33,570066752190147,2,81,1,120,2.0,81.0,40.5,一般挽留客户,1,,,,,,,,
34,570063243570117,7,381,3,25,2.3333333333333335,127.0,54.42857142857143,重要价值客户,8,,,,,,,,
35,570064607560122,10,294,1,120,10.0,294.0,29.4,重要保持客户,7,,,,,,,,
36,570066852960114,5,88,1,120,5.0,88.0,17.6,一般保持客户,2,5.0,88.0,120.0,5.0,88.0,17.6,一般保持客户,2.0
37,570066818740126,2,50,1,120,2.0,50.0,25.0,一般挽留客户,1,,,,,,,,
38,570064818110154,7,401,1,120,7.0,401.0,57.285714285714285,重要保持客户,7,,,,,,,,
39,570038651180116,3,95,1,120,3.0,95.0,31.666666666666668,一般保持客户,2,,,,,,,,
40,570061586530127,11,379,1,120,11.0,379.0,34.45454545454545,重要保持客户,7,,,,,,,,
41,570057490880155,15,0,1,120,15.0,0.0,0.0,一般保持客户,2,15.0,0.0,120.0,15.0,0.0,0.0,一般保持客户,2.0
42,570021929770154,7,201,1,102,7.0,201.0,28.714285714285715,重要保持客户,7,,,,,,,,
43,570067400680147,1,90,1,120,1.0,90.0,90.0,一般挽留客户,1,,,,,,,,
44,570066780600119,3,97,1,120,3.0,97.0,32.333333333333336,一般保持客户,2,,,,,,,,
45,570056508260106,3,99,1,120,3.0,99.0,33.0,一般保持客户,2,,,,,,,,
46,570066566050131,2,79,1,120,2.0,79.0,39.5,一般挽留客户,1,2.0,79.0,120.0,2.0,79.0,39.5,一般挽留客户,1.0
47,570066860730119,6,217,1,119,6.0,217.0,36.166666666666664,重要保持客户,7,,,,,,,,
48,570067385550118,2,128,1,119,2.0,128.0,64.0,一般挽留客户,1,,,,,,,,
49,570056446190162,57,11,2,82,28.5,5.5,0.19298245614035087,一般价值客户,4,57.0,11.0,82.0,28.5,5.5,0.19298245614035087,一般保持客户,2.0
50,570064809200113,3,67,1,119,3.0,67.0,22.333333333333332,一般保持客户,2,,,,,,,,
51,570060444630156,5,603,2,119,2.5,301.5,120.6,重要保持客户,7,5.0,603.0,119.0,2.5,301.5,120.6,重要保持客户,7.0
52,570066746710124,5,228,1,119,5.0,228.0,45.6,重要保持客户,7,,,,,,,,
53,570065779590151,3,245,1,119,3.0,245.0,81.66666666666667,重要保持客户,7,,,,,,,,
54,570067352430137,2,238,1,119,2.0,238.0,119.0,重要挽留客户,5,,,,,,,,
55,570059281160126,3,68,1,119,3.0,68.0,22.666666666666668,一般保持客户,2,,,,,,,,
56,570060432240161,7,276,2,43,3.5,138.0,39.42857142857143,重要价值客户,8,7.0,276.0,43.0,3.5,138.0,39.42857142857143,重要价值客户,8.0
57,570052737270106,132,271,4,23,33.0,67.75,2.053030303030303,重要价值客户,8,,,,,,,,
58,570062928930148,6,182,1,119,6.0,182.0,30.333333333333332,一般保持客户,2,,,,,,,,
59,570033136200162,3,173,1,119,3.0,173.0,57.666666666666664,一般保持客户,2,3.0,173.0,119.0,3.0,173.0,57.666666666666664,一般保持客户,2.0
60,570062244590109,1,43,1,119,1.0,43.0,43.0,一般挽留客户,1,,,,,,,,
61,570066820920105,8,151,2,74,4.0,75.5,18.875,一般价值客户,4,,,,,,,,
62,570051498150136,13,448,1,107,13.0,448.0,34.46153846153846,重要保持客户,7,,,,,,,,
63,570065193000130,2,198,1,115,2.0,198.0,99.0,一般挽留客户,1,2.0,198.0,115.0,2.0,198.0,99.0,一般挽留客户,1.0
64,570062666960145,2,196,1,119,2.0,196.0,98.0,一般挽留客户,1,,,,,,,,
65,570067399010104,2,45,1,118,2.0,45.0,22.5,一般挽留客户,1,2.0,45.0,118.0,2.0,45.0,22.5,一般挽留客户,1.0
66,570067603720103,1,119,1,118,1.0,119.0,119.0,一般挽留客户,1,,,,,,,,
67,570067643430162,10,503,1,101,10.0,503.0,50.3,重要保持客户,7,4.0,199.0,101.0,4.0,199.0,49.75,一般保持客户,2.0
68,570063204640101,2,196,1,118,2.0,196.0,98.0,一般挽留客户,1,1.0,98.0,118.0,1.0,98.0,98.0,一般挽留客户,1.0
69,570066024030138,1,4,1,118,1.0,4.0,4.0,一般挽留客户,1,,,,,,,,
70,570064407760146,1,24,1,118,1.0,24.0,24.0,一般挽留客户,1,1.0,24.0,118.0,1.0,24.0,24.0,一般挽留客户,1.0
71,570064384550154,2,188,1,118,2.0,188.0,94.0,一般挽留客户,1,,,,,,,,
72,570063679550158,4,296,1,118,4.0,296.0,74.0,重要保持客户,7,,,,,,,,
73,570067624190160,2,92,1,118,2.0,92.0,46.0,一般挽留客户,1,,,,,,,,
74,570061330830131,4,185,2,47,2.0,92.5,46.25,一般价值客户,4,3.0,83.0,117.0,3.0,83.0,27.666666666666668,一般保持客户,2.0
75,570067657370160,1,29,1,118,1.0,29.0,29.0,一般挽留客户,1,,,,,,,,
76,570038789630137,4,146,2,64,2.0,73.0,36.5,一般价值客户,4,,,,,,,,
77,570055252760118,4,92,1,118,4.0,92.0,23.0,一般保持客户,2,,,,,,,,
78,570053440580125,4,90,1,118,4.0,90.0,22.5,一般保持客户,2,,,,,,,,
79,570067608090119,3,364,1,118,3.0,364.0,121.33333333333333,重要保持客户,7,,,,,,,,
80,570063968200156,4,507,2,83,2.0,253.5,126.75,重要价值客户,8,4.0,507.0,83.0,2.0,253.5,126.75,重要保持客户,7.0
81,570062666180121,6,112,1,118,6.0,112.0,18.666666666666668,一般保持客户,2,,,,,,,,
82,570065082210131,3,47,1,118,3.0,47.0,15.666666666666666,一般保持客户,2,3.0,47.0,118.0,3.0,47.0,15.666666666666666,一般保持客户,2.0
83,570067806570130,5,559,1,117,5.0,559.0,111.8,重要保持客户,7,,,,,,,,
84,570062862030112,4,309,1,117,4.0,309.0,77.25,重要保持客户,7,,,,,,,,
85,570061058120139,4,196,1,108,4.0,196.0,49.0,一般保持客户,2,,,,,,,,
86,570066957440111,3,205,1,105,3.0,205.0,68.33333333333333,重要保持客户,7,3.0,205.0,105.0,3.0,205.0,68.33333333333333,重要保持客户,7.0
87,570066784530104,1,119,1,117,1.0,119.0,119.0,一般挽留客户,1,,,,,,,,
88,570066594580103,2,104,1,117,2.0,104.0,52.0,一般挽留客户,1,,,,,,,,
89,570067767710128,8,996,1,117,8.0,996.0,124.5,重要保持客户,7,,,,,,,,
90,570055635080102,1,59,1,117,1.0,59.0,59.0,一般挽留客户,1,,,,,,,,
91,570063444210155,5,376,1,113,5.0,376.0,75.2,重要保持客户,7,1.0,27.0,113.0,1.0,27.0,27.0,一般挽留客户,1.0
92,570062917510106,2,157,1,117,2.0,157.0,78.5,一般挽留客户,1,,,,,,,,
93,570067786430144,8,784,1,115,8.0,784.0,98.0,重要保持客户,7,,,,,,,,
94,570067848640107,6,233,2,78,3.0,116.5,38.833333333333336,重要价值客户,8,1.0,29.0,108.0,1.0,29.0,29.0,一般挽留客户,1.0
95,570067629460110,3,142,1,116,3.0,142.0,47.333333333333336,一般保持客户,2,,,,,,,,
96,570064439160105,12,537,2,54,6.0,268.5,44.75,重要价值客户,8,8.0,456.0,55.0,4.0,228.0,57.0,重要价值客户,8.0
97,570067724100103,2,78,1,117,2.0,78.0,39.0,一般挽留客户,1,,,,,,,,
98,570064854300112,103,32,2,75,51.5,16.0,0.3106796116504854,一般价值客户,4,103.0,32.0,75.0,51.5,16.0,0.3106796116504854,一般保持客户,2.0
99,570067140450140,17,1711,2,66,8.5,855.5,100.6470588235294,重要价值客户,8,11.0,1248.0,74.0,11.0,1248.0,113.45454545454545,重要保持客户,7.0
100,570067860890163,3,262,1,117,3.0,262.0,87.33333333333333,重要保持客户,7,,,,,,,,
101,570067085360123,4,102,2,69,2.0,51.0,25.5,一般价值客户,4,3.0,73.0,117.0,3.0,73.0,24.333333333333332,一般保持客户,2.0
102,570067773240106,6,258,1,117,6.0,258.0,43.0,重要保持客户,7,,,,,,,,
103,570063717260124,4,70,1,116,4.0,70.0,17.5,一般保持客户,2,,,,,,,,
104,570031412790134,32,2,1,110,32.0,2.0,0.0625,一般保持客户,2,32.0,2.0,110.0,32.0,2.0,0.0625,一般保持客户,2.0
105,570053809910138,3,77,1,116,3.0,77.0,25.666666666666668,一般保持客户,2,,,,,,,,
106,570035686680132,2,40,1,116,2.0,40.0,20.0,一般挽留客户,1,,,,,,,,
107,570067901120104,5,180,1,115,5.0,180.0,36.0,一般保持客户,2,,,,,,,,
108,570058549480135,2,110,1,116,2.0,110.0,55.0,一般挽留客户,1,,,,,,,,
109,570067962060116,13,415,1,116,13.0,415.0,31.923076923076923,重要保持客户,7,,,,,,,,
110,570059450750134,2,26,1,116,2.0,26.0,13.0,一般挽留客户,1,,,,,,,,
111,570062904530106,1,20,1,116,1.0,20.0,20.0,一般挽留客户,1,,,,,,,,
112,570063925870103,2,177,1,116,2.0,177.0,88.5,一般挽留客户,1,,,,,,,,
113,570058523170142,5,86,1,116,5.0,86.0,17.2,一般保持客户,2,,,,,,,,
114,570067915330159,7,161,2,5,3.5,80.5,23.0,一般价值客户,4,,,,,,,,
115,570067728820112,4,44,1,116,4.0,44.0,11.0,一般保持客户,2,4.0,44.0,116.0,4.0,44.0,11.0,一般保持客户,2.0
116,570065859330158,3,48,1,116,3.0,48.0,16.0,一般保持客户,2,,,,,,,,
117,570023218830144,2,40,1,116,2.0,40.0,20.0,一般挽留客户,1,,,,,,,,
118,570066666830162,2,243,1,116,2.0,243.0,121.5,重要挽留客户,5,2.0,243.0,116.0,2.0,243.0,121.5,重要挽留客户,5.0
119,570067936780150,3,117,1,116,3.0,117.0,39.0,一般保持客户,2,,,,,,,,
120,570067920660144,4,140,1,116,4.0,140.0,35.0,一般保持客户,2,,,,,,,,
121,570061636440114,5,498,1,115,5.0,498.0,99.6,重要保持客户,7,4.0,200.0,116.0,4.0,200.0,50.0,一般保持客户,2.0
122,570067078330161,5,95,1,116,5.0,95.0,19.0,一般保持客户,2,,,,,,,,
123,570067946420106,2,101,1,116,2.0,101.0,50.5,一般挽留客户,1,,,,,,,,
124,570066536650142,2,258,1,116,2.0,258.0,129.0,重要挽留客户,5,,,,,,,,
125,570057556820148,9,528,2,82,4.5,264.0,58.666666666666664,重要价值客户,8,,,,,,,,
126,570058885230102,6,147,1,114,6.0,147.0,24.5,一般保持客户,2,,,,,,,,
127,570065034700131,3,294,1,116,3.0,294.0,98.0,重要保持客户,7,3.0,294.0,116.0,3.0,294.0,98.0,重要保持客户,7.0
128,570068020160139,2,128,1,116,2.0,128.0,64.0,一般挽留客户,1,,,,,,,,
129,570068072390148,7,158,2,84,3.5,79.0,22.571428571428573,一般价值客户,4,4.0,100.0,84.0,4.0,100.0,25.0,一般保持客户,2.0
130,570066950480120,2,63,2,61,1.0,31.5,31.5,一般发展客户,3,,,,,,,,
131,570067899630125,3,178,1,113,3.0,178.0,59.333333333333336,一般保持客户,2,,,,,,,,
132,570068178870160,1,86,1,115,1.0,86.0,86.0,一般挽留客户,1,,,,,,,,
133,570068115950114,3,327,1,115,3.0,327.0,109.0,重要保持客户,7,,,,,,,,
134,570066421640101,2,197,1,115,2.0,197.0,98.5,一般挽留客户,1,,,,,,,,
135,570068193970120,3,48,1,115,3.0,48.0,16.0,一般保持客户,2,,,,,,,,
136,570068060690158,7,240,1,115,7.0,240.0,34.285714285714285,重要保持客户,7,,,,,,,,
137,570053744830143,5,100,1,115,5.0,100.0,20.0,一般保持客户,2,,,,,,,,
138,570061317960115,13,717,1,115,13.0,717.0,55.15384615384615,重要保持客户,7,13.0,717.0,115.0,13.0,717.0,55.15384615384615,重要保持客户,7.0
139,570062155760106,2,92,1,115,2.0,92.0,46.0,一般挽留客户,1,2.0,92.0,115.0,2.0,92.0,46.0,一般挽留客户,1.0
140,570066191220159,7,147,1,115,7.0,147.0,21.0,一般保持客户,2,7.0,147.0,115.0,7.0,147.0,21.0,一般保持客户,2.0
141,570066871100163,5,328,1,110,5.0,328.0,65.6,重要保持客户,7,,,,,,,,
142,570068096510152,2,79,1,115,2.0,79.0,39.5,一般挽留客户,1,,,,,,,,
143,570063662590154,1,40,1,115,1.0,40.0,40.0,一般挽留客户,1,,,,,,,,
144,570066071840112,8,215,1,115,8.0,215.0,26.875,重要保持客户,7,,,,,,,,
145,570059898250127,2,103,1,96,2.0,103.0,51.5,一般挽留客户,1,,,,,,,,
146,570066172980155,7,315,1,115,7.0,315.0,45.0,重要保持客户,7,7.0,315.0,115.0,7.0,315.0,45.0,重要保持客户,7.0
147,570068108210147,3,297,1,114,3.0,297.0,99.0,重要保持客户,7,,,,,,,,
148,570067980670158,13,610,1,112,13.0,610.0,46.92307692307692,重要保持客户,7,13.0,610.0,112.0,13.0,610.0,46.92307692307692,重要保持客户,7.0
149,570066744160104,3,186,1,108,3.0,186.0,62.0,一般保持客户,2,1.0,59.0,115.0,1.0,59.0,59.0,一般挽留客户,1.0
150,570068215480154,4,428,1,115,4.0,428.0,107.0,重要保持客户,7,,,,,,,,
151,570068111380124,2,258,2,84,1.0,129.0,129.0,重要发展客户,6,,,,,,,,
152,570065742760159,7,135,1,108,7.0,135.0,19.285714285714285,一般保持客户,2,7.0,135.0,108.0,7.0,135.0,19.285714285714285,一般保持客户,2.0
153,570068131830117,3,57,1,115,3.0,57.0,19.0,一般保持客户,2,,,,,,,,
154,570068028520159,10,393,1,115,10.0,393.0,39.3,重要保持客户,7,10.0,393.0,115.0,10.0,393.0,39.3,重要保持客户,7.0
155,570068108840133,15,58,1,113,15.0,58.0,3.8666666666666667,一般保持客户,2,,,,,,,,
156,570062736750139,3,149,1,115,3.0,149.0,49.666666666666664,一般保持客户,2,,,,,,,,
157,570065651000143,2,162,1,115,2.0,162.0,81.0,一般挽留客户,1,,,,,,,,
158,570067005100109,4,186,1,115,4.0,186.0,46.5,一般保持客户,2,4.0,186.0,115.0,4.0,186.0,46.5,一般保持客户,2.0
159,570052940610154,636,189465,4,2,159.0,47366.25,297.9009433962264,重要价值客户,8,,,,,,,,
160,570066585770145,5,261,1,114,5.0,261.0,52.2,重要保持客户,7,4.0,216.0,114.0,4.0,216.0,54.0,重要保持客户,7.0
161,570066357440133,9,159,1,115,9.0,159.0,17.666666666666668,一般保持客户,2,,,,,,,,
162,570063232150139,3,223,1,103,3.0,223.0,74.33333333333333,重要保持客户,7,2.0,125.0,114.0,2.0,125.0,62.5,一般挽留客户,1.0
163,570056408300118,2,297,1,114,2.0,297.0,148.5,重要挽留客户,5,,,,,,,,
164,570067925510146,5,141,1,114,5.0,141.0,28.2,一般保持客户,2,,,,,,,,
165,570068233190153,3,241,1,113,3.0,241.0,80.33333333333333,重要保持客户,7,2.0,196.0,113.0,2.0,196.0,98.0,一般挽留客户,1.0
166,570063049360103,4,173,1,113,4.0,173.0,43.25,一般保持客户,2,4.0,173.0,113.0,4.0,173.0,43.25,一般保持客户,2.0
167,570059582540112,3,155,2,75,1.5,77.5,51.666666666666664,一般价值客户,4,,,,,,,,
168,570054115170163,3,74,1,114,3.0,74.0,24.666666666666668,一般保持客户,2,,,,,,,,
169,570058273970146,16,0,1,114,16.0,0.0,0.0,一般保持客户,2,16.0,0.0,114.0,16.0,0.0,0.0,一般保持客户,2.0
170,570068449620121,15,833,1,114,15.0,833.0,55.53333333333333,重要保持客户,7,,,,,,,,
171,570066902990120,2,178,1,114,2.0,178.0,89.0,一般挽留客户,1,2.0,178.0,114.0,2.0,178.0,89.0,一般挽留客户,1.0
172,570067216330127,12,258,1,113,12.0,258.0,21.5,重要保持客户,7,,,,,,,,
173,570057244940163,41,41,2,14,20.5,20.5,1.0,一般价值客户,4,41.0,41.0,14.0,20.5,20.5,1.0,一般价值客户,4.0
174,570067736640117,3,294,2,86,1.5,147.0,98.0,重要价值客户,8,,,,,,,,
175,570065111410132,6,513,3,30,2.0,171.0,85.5,重要价值客户,8,,,,,,,,
176,570059303220146,3,148,1,114,3.0,148.0,49.333333333333336,一般保持客户,2,,,,,,,,
177,570068451750145,2,101,1,114,2.0,101.0,50.5,一般挽留客户,1,,,,,,,,
178,570068472850143,4,350,1,110,4.0,350.0,87.5,重要保持客户,7,1.0,129.0,110.0,1.0,129.0,129.0,一般挽留客户,1.0
179,570060880310111,10,256,3,56,3.3333333333333335,85.33333333333333,25.6,重要价值客户,8,10.0,256.0,56.0,3.3333333333333335,85.33333333333333,25.6,重要价值客户,8.0
180,570065521950140,7,195,1,114,7.0,195.0,27.857142857142858,一般保持客户,2,,,,,,,,
181,570065085850104,3,88,1,114,3.0,88.0,29.333333333333332,一般保持客户,2,,,,,,,,
182,570065451760134,3,118,1,111,3.0,118.0,39.333333333333336,一般保持客户,2,2.0,85.0,114.0,2.0,85.0,42.5,一般挽留客户,1.0
183,570062581520131,6,291,1,114,6.0,291.0,48.5,重要保持客户,7,,,,,,,,
184,570060374410150,15,382,2,21,7.5,191.0,25.466666666666665,重要价值客户,8,10.0,172.0,113.0,10.0,172.0,17.2,一般保持客户,2.0
185,570060182570134,19,0,1,113,19.0,0.0,0.0,一般保持客户,2,19.0,0.0,113.0,19.0,0.0,0.0,一般保持客户,2.0
186,570021075590114,10,407,2,75,5.0,203.5,40.7,重要价值客户,8,,,,,,,,
187,570068432780136,1,31,1,113,1.0,31.0,31.0,一般挽留客户,1,,,,,,,,
188,570064889460127,7,370,1,110,7.0,370.0,52.857142857142854,重要保持客户,7,7.0,370.0,110.0,7.0,370.0,52.857142857142854,重要保持客户,7.0
